,~,,~,,~,~,~,~,~,,~,,~,~,~,,~,~,~,,~,,~,,~,,~,~,~,~,~,,~,~,~,,~,~,~,
,~,,~,,,,~,,,,~,,,,~,,,,,,~,,~,,~,,~,,,,~,,,,,,,,~,
,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,
,~,,~,,,,,,~,,,,~,,,,~,,~,,,,,,,,,,~,,,,~,,~,,,,~,
,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,~,~,~,~,,~,~,~,,~,,~,~,~,,~,
,~,,,,~,,~,,,,~,,,,~,,,,,,,,,,,,~,,,,~,,~,,,,~,,~,
,~,,~,,~,,~,~,~,,~,~,~,,~,~,~,~,~,~,~,,~,~,~,,~,~,~,~,~,,~,,~,~,~,,~,
,~,,~,,~,,,,~,,,,~,,,,,,~,,~,,~,,,,,,,,,,~,,~,,,,~,
,~,,~,,~,,~,~,~,,~,~,~,,~,~,~,~,~,,~,,~,,~,~,~,~,~,~,~,,~,~,~,,~,,~,
,~,,~,,~,,~,,,,~,,,,~,,,,,,~,,~,,~,,,,~,,~,,,,,,~,,~,
,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,~,~,,~,~,~,,~,,~,,~,~,~,~,~,,~,
,,,~,,,,,,~,,,,~,,,,~,,,,,,,,,,~,,~,,~,,~,,~,,,,~,
,~,,~,~,~,,~,~,~,,~,~,~,~,~,,~,,~,~,~,~,~,~,~,,~,,~,,~,,~,,~,~,~,,~,
,~,,,,~,,~,,,,,,~,,~,,,,~,,,,~,,,,~,,~,,,,~,,,,~,,~,
,~,~,~,,~,,~,~,~,~,~,,~,,~,,~,~,~,,~,,~,~,~,~,~,,~,~,~,,~,~,~,,~,~,~,
,~,,~,,~,,,,,,~,,,,~,,~,,,,~,,,,,,,,,,~,,,,~,,,,,
,~,,~,~,~,,~,~,~,,~,~,~,,~,,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,
,~,,,,,,~,,,,,,~,,~,,~,,~,,,,,,~,,~,,,,,,,,,,~,,~,
,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,,~,
,~,,,,,,,,~,,,,,,~,,,,,,,,~,,,,,,,,~,,~,,,,~,,,
,~,,~,~,~,~,~,,~,,~,~,~,,~,,~,~,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,,~,~,~,
,~,,~,,,,~,,~,,,,~,,~,,,,~,,~,,,,,,~,,~,,,,,,,,,,~,
,~,,~,,~,,~,,~,,~,~,~,,~,,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,
,,,~,,~,,~,,~,,~,,,,~,,~,,,,,,,,,,,,,,,,~,,~,,,,~,
,~,~,~,,~,,~,,~,,~,~,~,~,~,,~,~,~,,~,,~,~,~,~,~,~,~,~,~,,~,~,~,,~,~,~,
,~,,,,~,,~,,~,,~,,,,,,,,~,,~,,~,,~,,,,,,,,,,,,~,,,
,~,~,~,,~,,~,,~,,~,~,~,~,~,~,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,,~,~,~,,~,
,~,,~,,~,,~,,~,,,,,,,,,,,,,,,,,,~,,~,,~,,,,~,,,,~,
,~,,~,,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,,~,,~,~,~,,~,~,~,,~,
,~,,~,,,,,,,,~,,,,,,~,,~,,,,~,,~,,~,,~,,,,~,,,,~,,~,
,~,,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,,~,,~,,~,~,~,,~,,~,,~,,~,~,~,~,~,,~,
,~,,,,,,,,,,,,~,,,,,,~,,~,,,,,,~,,~,,~,,,,,,,,~,
,~,,~,~,~,,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,
,~,,~,,~,,~,,~,,,,,,~,,~,,,,,,,,,,,,,,,,,,~,,~,,~,
,~,~,~,,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,,~,
,,,,,~,,~,,,,~,,~,,,,,,~,,~,,,,,,,,,,~,,~,,,,,,~,
,~,~,~,,~,,~,,~,~,~,,~,,~,~,~,,~,,~,,~,~,~,~,~,,~,~,~,,~,~,~,,~,,~,
,,,~,,~,,~,,~,,,,~,,~,,~,,~,,~,,~,,,,~,,~,,,,,,~,,~,,~,
,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,,~,~,~,,~,,~,,~,,~,
,~,,,,,,~,,,,~,,,,,,~,,,,,,~,,~,,,,,,~,,~,,~,,~,,~,
,~,,~,~,~,~,~,~,~,,~,~,~,~,~,,~,,~,~,~,~,~,,~,~,~,,~,~,~,,~,,~,~,~,,~,
,~,,~,,,,,,,,,,,,~,,~,,,,~,,,,,,,,~,,,,~,,,,~,,~,
,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,,~,
,~,,,,,,~,,,,,,,,,,,,,,~,,~,,,,,,~,,,,,,~,,,,~,
,~,~,~,,~,~,~,,~,~,~,~,~,~,~,~,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,
,~,,,,~,,,,~,,,,,,,,,,~,,,,~,,~,,~,,,,~,,~,,,,~,,,
,~,,~,~,~,,~,,~,~,~,,~,~,~,~,~,,~,~,~,,~,,~,,~,~,~,~,~,,~,~,~,~,~,,~,
,~,,~,,,,~,,~,,~,,~,,,,~,,~,~,~,,~,,~,,,,,,,,,,,,,,~,
,~,,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~H,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,,,,,,,,,,,,,,,,,,,~,~,~,,,,,,,,,,,,,,,,,,,
